Material_Material_Number_Key,Material_Text,Material_Material_Group_Key,Material_Material_Group_Text,SCHC_1_Key,SCHC_1_Text,Storage_Location_Key_Not_Compounded,Storage_Location,Storage_Type_Key,Storage_Bin_Key,Storage_Bin_Type_Key_Not_Compounded,Stock_material_Blocked_Stock_Key,Stock_material_In_Quality_Insp_Key,Stock_material_Unrestruse_Stock_Key,Total_Stock,Material_CFSS_UOI_Key,Material_CFSS_UOI_Text,Technical_Auth_Code_Key,Technical_Auth_Code_TA_Environment_Text,SMC_Key,SMC_Desc_Purch_Group_Key,GR_Date_Key,Material_CFSS_UOI_Price_Key,Material_Lead_IMA_Key,Material_Stock_Type_Supply_Key,Material_Lead_IMA_Text,Material_Stock_Classification_Key,Material_Stock_Classification_Text,Material_DMC_Key,Material_DMC_Text,Material_Repair_Code_Key,Material_Repair_Code_Text,CC_Physical_Inventor_Key_Not_Compounded,Last_Inventory_Date_Key,Quant_Key,Last_Movement_Date
00-1069632:NSN,"TEST SET,SONAR",6625,Electric Prop-Measur,#,Not assigned,000M,7 CFSD Disposal,DA,346523L,44,0.000 EA,0.000 EA,1.000 EA,1,EA,each,A55D,DGAEPM,52R,(A) DAP 6-3-5-B,6/9/2022,"35,000.00 CAD",1B,X,ITEM UNDER REVIEW FOR SURPLUS,A,ACCOUNTABLE STORES,D,Controlled-key components/demil-destroy,F,2ND  LINE WKSP AND 3RD LINE,E,#,2830679,9/2/2022
00-1400105:NSN,"TRANSMITTER,PRESSURE",6685,Pressure/Temp/Humidi,Q,Q,000M,7 CFSD Disposal,DA,338553,#,0.000 EA,0.000 EA,1.000 EA,1,EA,each,A51H,DGAEPM,52D,(A) DAP 6-2-4-K,11/1/2018,"2,366.17 CAD",4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,F,2ND  LINE WKSP AND 3RD LINE,G,#,2831923,9/7/2022
00-8151903:NSN,"COMPASS,MAGNETIC,MOUNTED",6605,Navigational Instrum,R,RADIOACTIVE MATERIEL,000Y,7 CFSD HAZMAT RR,HK,016431N,40,0.000 EA,0.000 EA,1.000 EA,1,EA,each,A804,DGAEPM,550,(A) DAP 4-3-3-4,3/11/2019,748.85 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,A,ACCOUNTABLE STORES,Q,Non-controlled good/Demil not required,D,2ND LINE WKSP ONLY,G,6/11/2021,1972734,5/28/2019
01-4754676:NSN,"VISOR,CLEAR PATCH,M",8475,Spec Flight Clothing,#,Not assigned,000L,7 CFSD Rep Res,MA,266245G3,8,0.000 EA,0.000 EA,1.000 EA,1,EA,each,AB22,DGAEPM,54K,(A) DAP 2-4-2,7/27/2022,"2,200.00 CAD",1R,X,QD MESSAGE FORMAT,A,ACCOUNTABLE STORES,D,Controlled-key components/demil-destroy,D,2ND LINE WKSP ONLY,G,8/25/2022,2811953,7/27/2022
01-6251634:NSN,"NAVIGATION SET,SATELLITE SIGNALS",5826,Radio Nav Eq Airborn,#,Not assigned,000L,7 CFSD Rep Res,RA,29400000,10,0.000 EA,0.000 EA,3.000 EA,3,EA,each,L49R,DGLEPM,49X,(L)DLCSPM 4723,3/30/2022,"5,000.00 CAD",1R,X,QD MESSAGE FORMAT,A,ACCOUNTABLE STORES,Q,Non-controlled good/Demil not required,D,2ND LINE WKSP ONLY,G,#,2765834,4/29/2022
20-0072933:NSN,TELESCOPE SUBASSEMBLY,1240,Optical Sighting,Q,Q,000Y,7 CFSD HAZMAT RR,HK,016407D,40,0.000 EA,0.000 EA,1.000 EA,1,EA,each,L31F,DGLEPM,30C,(L) DLP 3-4-C1,3/9/2022,676.00 CAD,1R,X,QD MESSAGE FORMAT,A,ACCOUNTABLE STORES,Q,Non-controlled good/Demil not required,D,2ND LINE WKSP ONLY,E,#,2757020,3/24/2022
21-8922542:NSN,"HOSE ASSEMBLY,NONMETALLIC",4720,Hose/Tubes Flexible,Q,Q,000J,7 CFSD SERV,FB,180405A,17,0.000 EA,0.000 EA,14.000 EA,14,EA,each,A613,DGAEPM,52W,(A) DAP 4-3-5-2-4,1/16/2020,385.22 CAD,1J,X,DEMAND DIRECT ON ATESS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2796484,6/13/2022
21-9014650:NSN,"HOSE ASSEMBLY,NONMETALLIC",4720,Hose/Tubes Flexible,#,Not assigned,000J,7 CFSD SERV,MB,234210H2A,6,0.000 EA,0.000 EA,1.000 EA,1,EA,each,A613,DGAEPM,52W,(A) DAP 4-3-5-2-4,10/26/2021,141.46 CAD,1J,X,DEMAND DIRECT ON ATESS,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2625813,10/27/2021
01-2615970:NSN,"VIBRATOR,DENTAL MOLDING",6520,Dental Instruments,#,Not assigned,000J,7 CFSD SERV,MA,210185A3,9,0.000 EA,0.000 EA,4.000 EA,4,EA,each,L330,DGLEPM,37H,(L) DLP 6-3-7-2,5/12/2022,100.00 CAD,2F,X,DENTAL MATERIEL,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,D,2ND LINE WKSP ONLY,H,#,2785160,5/16/2022
01-6878483:NSN,"STERILIZER,SURGICAL INSTRUMENT",6530,Hospital Furniture/E,Q,Q,000J,7 CFSD SERV,BB,106522,32,0.000 EA,0.000 EA,6.000 EA,6,EA,each,L330,DGLEPM,37H,(L) DLP 6-3-7-2,8/17/2020,"6,000.00 CAD",2F,X,DENTAL MATERIEL,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,B,3RD LINE ONLY,G,9/2/2022,2799807,6/23/2022
01-6912483:NSN,DENTAL OPERATING UNIT,6520,Dental Instruments,Q,Q,000J,7 CFSD SERV,PS,3000000000,11,0.000 EA,0.000 EA,7.000 EA,7,EA,each,L330,DGLEPM,37H,(L) DLP 6-3-7-2,10/26/2021,"2,700.00 CAD",2F,X,DENTAL MATERIEL,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,B,3RD LINE ONLY,G,6/28/2022,2622216,10/27/2021
01-6962234:NSN,"CASE,DENTAL INSTRUMENTS",6520,Dental Instruments,Q,Q,000J,7 CFSD SERV,PP,328239M,12,0.000 EA,0.000 EA,56.000 EA,56,EA,each,L330,DGLEPM,37H,(L) DLP 6-3-7-2,1/11/2022,125.00 CAD,2F,X,DENTAL MATERIEL,A,ACCOUNTABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2676617,5/11/2022
00-1840836:NSN,"FUSE,CARTRIDGE",5920,Fuses/Arresters/Abso,#,Not assigned,000J,7 CFSD SERV,MB,258249J2C,2,0.000 EA,0.000 EA,36.000 EA,36,EA,each,N041,DGMEPM,240,(M)D MAR P 3-4-2-4,8/20/2013,0.39 CAD,3A,X,ASD-DEMAND FROM PRIME CONTRACTOR,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,1424714,11/10/2020
00-4032670:NSN,"FUSE,CARTRIDGE",5920,Fuses/Arresters/Abso,#,Not assigned,000J,7 CFSD SERV,MB,234226H3B,2,0.000 EA,0.000 EA,3.000 EA,3,EA,each,N044,DGMEPM,240,(M)D MAR P 3-4-2-4,8/19/2013,1.35 CAD,3A,X,ASD-DEMAND FROM PRIME CONTRACTOR,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,218130,10/28/2014
01-0135457:NSN,"CARTRIDGE,IMPULSE",1377,Cartridge/Propel Dev,D,DANGEROUS GOOD. SEE HI-Q,000W,7 CFSD HAZMAT,HA,004012D,40,0.000 EA,0.000 EA,138.000 EA,138,EA,each,N044,DGMEPM,240,(M)D MAR P 3-4-2-4,8/20/2013,19.98 CAD,3A,X,ASD-DEMAND FROM PRIME CONTRACTOR,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,E,6/15/2021,2231434,7/16/2020
01-0367522:NSN,"MOUNTING BASE,TIEDOWN,ELECTRICAL",5975,Electrical Hardware,#,Not assigned,000J,7 CFSD SERV,MB,210220K6A,4,0.000 EA,0.000 EA,100.000 EA,100,EA,each,N041,DGMEPM,240,(M)D MAR P 3-4-2-4,8/19/2013,0.54 CAD,3A,X,ASD-DEMAND FROM PRIME CONTRACTOR,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,93237,8/19/2013
00-0727653:NSN,"PACKING,PREFORMED",5330,Packing/Gasket Mater,U,SLM-NON EXTENDABLE SHELF LIFE TYPE,000J,7 CFSD SERV,MB,238196E2A,6,0.000 EA,0.000 EA,56.000 EA,56,EA,each,N903,DGMEPM,26E,(M)D MAR P 7-2-5-4,8/19/2013,0.88 CAD,3B,X,PFC APPLIES,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,9/12/2018,1454450,8/10/2020
00-1675122:NSN,O-RING,5331,O-Rings,Q,Q,000J,7 CFSD SERV,PS,304132G4,11,0.000 EA,0.000 EA,"1,006.000 EA",1006,EA,each,N903,DGMEPM,26E,(M)D MAR P 7-2-5-4,8/19/2013,1.34 CAD,3B,X,PFC APPLIES,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,1098668,12/12/2017
00-6831628:NSN,"SWITCH,TOGGLE",5930,Switches,Q,Q,000J,7 CFSD SERV,MA,262199G3,8,0.000 EA,0.000 EA,0.000 EA,2,EA,each,L65K,DGLEPM,49G,(P) D SVCS C 2323,4/2/2020,7.15 CAD,3B,X,PFC APPLIES,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2178506,4/2/2020
01-3473289:NSN,"LIGHT,INDICATOR",6210,Indoor/Outdoor Light,#,Not assigned,000J,7 CFSD SERV,MB,202227E5C,2,0.000 EA,0.000 EA,1.000 EA,1,EA,each,NM16,DGMEPM,21C,(M)D MAR P 7-2-2-2,8/20/2013,118.71 CAD,3B,X,PFC APPLIES,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,3/15/2018,1670614,3/15/2018
01-3473290:NSN,"LIGHT,INDICATOR",6210,Indoor/Outdoor Light,#,Not assigned,000J,7 CFSD SERV,MB,270199M1E,2,0.000 EA,0.000 EA,2.000 EA,2,EA,each,NM16,DGMEPM,21C,(M)D MAR P 7-2-2-2,8/20/2013,118.52 CAD,3B,X,PFC APPLIES,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,351944,8/20/2013
00-2284386:NSN,"CONNECTOR,RECEPTACLE,ELECTRICAL",5935,"Connectors, Electric",Q,Q,000J,7 CFSD SERV,MA,206164C1,9,0.000 EA,0.000 EA,143.000 EA,143,EA,each,L33P,DGLEPM,67A,(L) DLP 6-3-6C,8/20/2013,3.00 CAD,3G,X,CALL UP AGAINST STANDING OFFER,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,6/4/2019,1976478,6/4/2019
00-5192714:NSN,"BUS,CONDUCTOR",6150,Misc Electric Pwr Eq,Q,Q,000J,7 CFSD SERV,MB,258231K6B,3,0.000 EA,0.000 EA,52.000 EA,52,EA,each,N904,DGMEPM,49G,(P) D SVCS C 2323,8/20/2013,2.38 CAD,3G,X,CALL UP AGAINST STANDING OFFER,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,4/6/2018,1688803,4/6/2018
00-9202718:NSN,"RESISTOR,VOLTAGE SENSITIVE",5905,Resistors,Q,Q,000J,7 CFSD SERV,MB,202172M1A,6,0.000 EA,0.000 EA,33.000 EA,33,EA,each,L33P,DGLEPM,67A,(L) DLP 6-3-6C,8/19/2013,6.71 CAD,3G,X,CALL UP AGAINST STANDING OFFER,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,4/16/2018,1697696,4/16/2018
01-1675797:NSN,"BOX CONNECTOR,ELECTRICAL",5975,Electrical Hardware,Q,Q,000J,7 CFSD SERV,MB,262172K2A,5,0.000 EA,0.000 EA,40.000 EA,40,EA,each,L66N,DGLEPM,49G,(P) D SVCS C 2323,8/19/2013,175.00 CAD,3G,X,CALL UP AGAINST STANDING OFFER,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,122662,8/19/2013
01-3198589:NSN,"WASHER,FLAT",5310,Nuts/Washers,Q,Q,000J,7 CFSD SERV,MB,230223M1B,2,0.000 EA,0.000 EA,19.000 EA,19,EA,each,L33P,DGLEPM,67A,(L) DLP 6-3-6C,8/19/2013,2.17 CAD,3G,X,CALL UP AGAINST STANDING OFFER,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,10/22/2018,1815163,10/26/2018
00-0298943:NSN,"THERMOCOUPLE,IMMERSION",6685,Pressure/Temp/Humidi,#,Not assigned,000J,7 CFSD SERV,MB,214194K3A,7,0.000 EA,0.000 EA,12.000 EA,12,EA,each,A57W,DGAEPM,55H,(A) DAP 4-3-5-2,8/19/2013,151.00 CAD,4B,X,DISPERSED NATIONAL STOCK,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,88264,8/19/2013
00-0753596:NSN,"CONTROL BOX,ELECTRO",1660,Aircraft HVAC&Pressu,#,Not assigned,000L,7 CFSD Rep Res,RA,282496D3,8,0.000 EA,0.000 EA,1.000 EA,1,EA,each,A305,DGAEPM,52N,(A) DAP 6-2-4K,11/4/2021,"7,010.30 CAD",4B,X,DISPERSED NATIONAL STOCK,A,ACCOUNTABLE STORES,Q,Non-controlled good/Demil not required,F,2ND  LINE WKSP AND 3RD LINE,G,4/4/2022,2639662,11/8/2021
00-1443850:NSN,"BOLT,CLEVIS",5306,Bolts,#,Not assigned,000J,7 CFSD SERV,MB,250182H2B,2,0.000 EA,0.000 EA,10.000 EA,10,EA,each,A010,DGAEPM,55G,(A) DAP 4-3-5-2-4,3/26/2019,1.75 CAD,4B,X,DISPERSED NATIONAL STOCK,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,1917604,12/20/2021
00-1673700:NSN,"BOLT,MACHINE",5306,Bolts,#,Not assigned,000J,7 CFSD SERV,PS,288136F1,11,0.000 PG,0.000 PG,15.000 PG,15,PG,Package,A613,DGAEPM,52W,(A) DAP 4-3-5-2-4,8/19/2013,112.50 CAD,4B,X,DISPERSED NATIONAL STOCK,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,1103843,2/10/2016
21-8798112:NSN,"FORM,PRINTED",7530,Stationery/Forms,Q,Q,000J,7 CFSD SERV,FB,138452H,17,0.000 PG,0.000 PG,"2,401.000 PG",2401,PG,Package,C001,COMMMON,32W,(L) DLP 6-3-2-C2,8/19/2013,3.73 CAD,4T,X,ELECTRONIC FORM - SEE THE DFC,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,663017,7/31/2014
21-8963055:NSN,"FORM,PRINTED",7530,Stationery/Forms,Q,Q,000J,7 CFSD SERV,MA,250259D1,9,0.000 PD,0.000 PD,71.000 PD,71,PD,Pad,C001,COMMMON,32W,(L) DLP 6-3-2-C2,8/19/2013,0.50 CAD,4T,X,ELECTRONIC FORM - SEE THE DFC,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,8/9/2019,2017955,8/9/2019
21-9000451:NSN,"FORM,PRINTED",7530,Stationery/Forms,Q,Q,000J,7 CFSD SERV,PS,334085C2,11,0.000 SE,0.000 SE,"11,260.000 SE",11260,SE,Set,C001,COMMMON,32W,(L) DLP 6-3-2-C2,8/20/2013,0.03 CAD,4T,X,ELECTRONIC FORM - SEE THE DFC,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,1081844,5/26/2020
21-9043305:NSN,"FORM,PRINTED",7530,Stationery/Forms,Q,Q,000J,7 CFSD SERV,MA,262174D1,8,0.000 SE,0.000 SE,950.000 SE,950,SE,Set,C001,COMMMON,32W,(L) DLP 6-3-2-C2,9/21/2020,0.02 CAD,4T,X,ELECTRONIC FORM - SEE THE DFC,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2259665,9/29/2021
00-1509528:NSN,"BOLT,MACHINE",5306,Bolts,#,Not assigned,000J,7 CFSD SERV,MA,206171C1,9,145.000 HD,0.000 HD,6.000 HD,145,HD,Hundred,MAC4,DGAEPM,57K,(A) DAP 4/OWSM/SM,8/19/2013,13.05 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2018969,8/13/2019
00-1509528:NSN,"BOLT,MACHINE",5306,Bolts,#,Not assigned,000J,7 CFSD SERV,MA,206171C1,9,145.000 HD,0.000 HD,6.000 HD,6,HD,Hundred,MAC4,DGAEPM,57K,(A) DAP 4/OWSM/SM,8/19/2013,13.05 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2018970,11/19/2019
00-1509920:NSN,"BOLT,CLEVIS",5306,Bolts,#,Not assigned,000J,7 CFSD SERV,MB,250236K1D,3,3.000 HD,0.000 HD,1.000 HD,3,HD,Hundred,MAC1,DGAEPM,57K,(A) DAP 4/OWSM/SM,8/19/2013,6.52 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,1982732,6/19/2019
00-1509920:NSN,"BOLT,CLEVIS",5306,Bolts,#,Not assigned,000J,7 CFSD SERV,MB,250236K1D,3,3.000 HD,0.000 HD,1.000 HD,1,HD,Hundred,MAC1,DGAEPM,57K,(A) DAP 4/OWSM/SM,8/19/2013,6.52 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,2062615,10/9/2019
00-1670824:NSN,"WASHER,FLAT",5310,Nuts/Washers,Q,Q,000J,7 CFSD SERV,PS,3460000,10,100.000 HD,0.000 HD,43.000 HD,43,HD,Hundred,MAC4,DGAEPM,57K,(A) DAP 4/OWSM/SM,8/19/2013,1.66 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,1076301,6/20/2019
00-1670824:NSN,"WASHER,FLAT",5310,Nuts/Washers,Q,Q,000J,7 CFSD SERV,PS,3460000,10,100.000 HD,0.000 HD,43.000 HD,100,HD,Hundred,MAC4,DGAEPM,57K,(A) DAP 4/OWSM/SM,8/19/2013,1.66 CAD,4N,X,CENTRALIZED MGMT-NORMAL DMND PROCESSING,C,CONSUMABLE STORES,A,Non-controlled good/Demil not required,A,NON-REPAIRABLE,H,#,1984250,6/20/2019
